SalesOrder,JobNumber,PO,Customer,CustomerPO,MachineModel,MachineStyle,MachineType,MachineDate,ShipDate
0199423,56513,951KMVAAP,KELLY SPICERS PACKAGING/ UNITED DURALAME PRODUCTS,951KMVAAP,REV,7020,AUTO,12/13/26,
0200376,56808,D236011,TPC PACKAGING/ KOCH FOODS,D236011,SYN,4,LP,11/10/26,
0200379,56809,D236011,TPC PACKAGING/ KOCH FOODS,D236011,SYN,4,LP,11/10/26,
0197677,55970,96109,MCCALL FARMS,96109,FRE,6500,AUTO,10/25/26,
0199281,56460,1035337,SUNBELT PACKAGING/ WINDSOE WINDOWS,1035337,SYN,4,LP,10/11/26,
0198631,56459,1035337,SUNBELT PACKAGING/ WINDSOR WINDOWS,1035337,SYN,4,LP,10/11/26,
0195838,55392,392898,PIEDMONT NATIONAL/ LASER FORM & MACHINE,392898,REV,10020,AUTO,9/27/26,
0197998,56057,PO10895,STRETCH WRAP SYSTEMS/ COUNTRY ESTATE FENCE,PO10895,REV,7020,AUTO,9/27/26,
0194938,55093,TRADE SHOW MACHINE,HLI,TRADE SHOW MACHINE,SYN,4,HP,9/20/26,
0198640,56268,1831055,IMPERIAL DADE/ HAVILAND PRODUCTS,1831055,FRE,6500,AUTO,9/20/26,
0200724,56923,9884122,BRAME SPECIALTY COMPANY/ HARVEST TIME FOODS,9884122,PREDATOR,PLATINUM,LP,9/6/26,
0198788,56316,PO-602-11261,PARAGON FILMS,PO-602-11261,SYN,4,LP,8/16/26,
0197215,55845,313187b,ATLANTIC TAPE/ KITH KITCHENS,313187B,REV,4820,AUTO,8/16/26,
0199389,56502,4504017238,BASALITE BUILDING PRODUCTS,4504017238,SYN,4,HP,8/16/26,
0177175,49897,4500337839,STEELSCAPE,4500337839,SYN,5,AUTO,8/2/26,
0196259,55547,0318559,LEWIS PKG/ B2B INDUSTRIAL PACKAGING/ MOUTAIN RIDGE,0318559,REV,4820,AUTO,7/25/26,
0200444,56830,51072508,VERITIV/ THE GARMON CORPORATION,51072508,PREDATOR,XS,LP,7/19/26,
0200426,56829,51072508,VERITIV/ THE GARMON CORPORATION,51072508,PREDATOR,XS,LP,7/19/26,
0199730,56624,82265173,VERITIV/ EAST MISSISSIPPI COM COLLEGE,82265173,SYN,4,LP,7/12/26,
0197041,55789,548193,COLUMBIA MACHINES/SUBURBAN ENTERPRISES,548193,SYN,5,AUTO,7/12/26,
0200505,56855,10187504,VERITIV/ AHLSTROM MT HOLLY SPRINGS,10187504,PREDATOR,PLATINUM,HP,7/5/26,
0199631,56573,,MVS,,SPE,C,FRAME,6/28/26,5/14/26
0199540,56566,7866244,MSC INDUSTRIAL SUPPLY/ PPG COATING SERVICES,7866244,FRE,6500,AUTO,6/28/26,
0200538,56865,PO0310597,BGR/ NETRUSH,PO0310597,PREDATOR,XS,LP,6/21/26,
0199923,56665,,HLI,,HILF,LOAD,DIMENSIONER,6/21/26,
0199932,56678,7002257,NASSCO/ HAMPEL CORP,7002257,PREDATOR,XS,HP,6/21/26,
0199948,26186a,J2861-2135,FERGUSON/ SEKISUI KYDEX,J2861-2135,REV,9020 FORKLIFT,AUTO,6/21/26,
0199887,56664,M802674,STAMAR PACKAGING/ ABB SENATOBIA,M802674,PREDATOR,PLATINUM,HP,6/21/26,
0199933,56679,7002257,NASSCO/ HAMPEL CORP,7002257,PREDATOR,XS,HP,6/21/26,
0200243,56772,s2463046,IPS PACKAGING/ CUI DISTRIBUTION,S2463046,SYN,4,HP,6/21/26,
0200242,56771,s2463046,IPS PACKAGING/ CUI DISTRIBUTION,S2463046,SYN,4,HP,6/21/26,
0200241,56770,s2463046,IPS PACKAGING/ CUI DISTRIBUTION,S2463046,SYN,4,HP,6/21/26,
0198460,56243,369963,ALLIED PACKAGING/ MJN MFG ZEELAND,369963,PREDATOR,PLATINUM,HP,6/21/26,
0200585,56886,400157142,ULINE,400157142,PREDATOR,SS,LP,6/14/26,
0196818,55721,p000215506,ROCKET INDUSTRIES/ CRYSTAL PRINT,PO000215506,SYN,4,LP,6/14/26,
0200728,56926,4650808155,GRAINGER/ USPS,4650808155,PREDATOR,SS,LP,6/14/26,
0200725,56924,400160658,ULINE/ AERONET,400160658,PREDATOR,SS,LP,6/14/26,
0197048,51738A,548198,COLUMBIA MACHINES/ SUBURBAN ENTERPRISES,548198,SYN,5,AUTO,6/14/26,
0200474,56847,234084,RMH SYSTEMS/ WESTERN SMOKEHOUSE PARTNER,234084,PREDATOR,XS,LP,6/14/26,
0200686,56907,4650797290,GRAINGER/BOYLES FAMOUS CORNED BEEF,4650797290,CAS,1300,TBU,6/14/26,
0198641,56274,po033083,LUVATA WATERBURY,PO033083,SYN,HP,TT,6/14/26,
0193261,54608,201904,HARVEY INDUSTRIES,201904,REV,8012,AUTO,6/14/26,
0200493,56849,S2464515,IPS PACKAGING/ RITTAL CORP,S2464515,PREDATOR,SS,LP,6/14/26,6/1/26
0195200,55185,po32258,PACKSMART/CONNEMARA CONVERTING,PO32258,SYN,4,HP,6/14/26,
0200747,56929,400161354,ULINE/ OASIS CREAMERY,400161354,PREDATOR,SS,LP,6/14/26,
0200685,56906,4650797289,GRAINGER/INNOVATIVE WATER CARE,4650797289,CAS,1300,TBU,6/14/26,
0200770,56934,400161743,ULINE/RC SMITH COMPANY,400161743,PREDATOR,SS,LP,6/14/26,
0200769,56930,400161732,ULINE/HLE,400161732,PREDATOR,SS,LP,6/14/26,
0200687,56908,4650797290,GRAINGER/BOYLES FAMOUS CORNED BEEF,4650797290,CAS,1300,TBU,6/14/26,
0200618,56893,7263831-00,SHORR PACKAGING/ CONTINENTAL BATTERY SYSTEMS,7263831-00,PREDATOR,SS,HP,6/14/26,
0200692,56911,400159631,ULINE,400159631,PREDATOR,SS,LP,6/14/26,
0200619,56894,7263832-00,SHORR PACKAGING/ CONTINENTAL BATTERY SYSTEMS,7263832-00,PREDATOR,SS,HP,6/14/26,
0200701,48925A,TDS ARMS,NIPPON KOMPO,TDS ARMS,TME,TS,REVOLUTION,6/14/26,
